DrugName,Outcome,type,yi,se,vi,D1 Allocation sequence,D2 Baseline similarity,D3 Allocation concealment,D4 Random housing,D5 Caregivers blinded,D6 Random selection for outcome assessment,D7 Blinded outcome assessor,D8 Incomplete data reporting addressed,D9 Free from selective outcome reporting,D10 Free from other risks of bias,D1 Allocation sequence BiasType,D2 Baseline similarity BiasType,D3 Allocation concealment BiasType,D4 Random housing BiasType,D5 Caregivers blinded BiasType,D6 Random selection for outcome assessment BiasType,D7 Blinded outcome assessor BiasType,D8 Incomplete data reporting addressed BiasType,D9 Free from selective outcome reporting BiasType,D10 Free from other risks of bias BiasType
AP163,Locomotor Activity,Animal,1.3708586431135,1.09009372268667,1.1883043242408826,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
Compound 50A,Locomotor Activity,Animal,0.603731766920138,0.858662822682259,0.7373018430566646,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
Compound 50B,Locomotor Activity,Animal,1.04976457928572,0.491780658140512,0.24184821572111512,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
Compound 6e,Locomotor Activity,Animal,1.24224064054154,0.337772250042423,0.11409009289872113,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
Compound 7b,Locomotor Activity,Animal,0.697466061505345,0.332049527110866,0.11025688845454973,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
Compound 8b,Locomotor Activity,Animal,0.584030637863713,0.331620270406586,0.10997200374453721,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
Guanfacine,Locomotor Activity,Animal,1.11945691819613,0.97865041160171,0.9577566281281963,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
LK000764,Locomotor Activity,Animal,0.469814137236618,0.659139202940655,0.43446448885324196,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
RO5073012,Locomotor Activity,Animal,0.679976082971514,0.610442085750015,0.3726395400548287,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
RO5166017,Locomotor Activity,Animal,1.43509530670849,0.393269100374254,0.15466058530917506,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,No,prop,prop,prop,add,prop,add,prop,prop,prop,prop
RO5203648,Locomotor Activity,Animal,1.13353460674406,0.33393752783224,0.11151427249470808,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,prop,prop,prop,add,prop,add,prop,prop,prop,prop
RO5256390,Locomotor Activity,Animal,1.76318175372803,0.498224345842493,0.24822749879018005,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,No,prop,prop,prop,add,prop,add,prop,prop,prop,prop
RO5263397,Locomotor Activity,Animal,1.2530308264954,0.324281247564342,0.10515832752188607,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,No,No,prop,prop,prop,add,prop,add,prop,prop,prop,prop
SEP-363856,Locomotor Activity,Animal,1.00409796013381,0.219023072540804,0.04797110630521429,No,Unclear,Unclear,Unclear,No,Unclear,No,No,No,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
ZH8651,Locomotor Activity,Animal,1.05376938448734,0.300022551937725,0.09001353167122489,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,No,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
ZH8659,Locomotor Activity,Animal,1.11259711574368,0.300458042441423,0.09027503526773194,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,No,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
ZH8667,Locomotor Activity,Animal,0.409691275491657,0.473159296680411,0.2238797200351012,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,No,Unclear,prop,prop,prop,add,prop,add,prop,prop,prop,prop
